Ejecución,Tiempo_Ordenamiento1 (segundos),Tiempo_Ordenamiento2 (segundos),Tiempo_Ordenamiento3 (segundos)
1,9189.985607,2007.108336,1156.749937
,,,
horas,2.55277377972222,0.557530093333333,0.321319426944444
